Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RFN","Fertilizers by Nutrient","356","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2004","2004","t","11712729","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","356","India","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2004","2004","kg/ha","68.94","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5172","Use per capita","3102","Nutrient nitrogen N (total)","2004","2004","kg/pc","10.31","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","2004","2004","kg/1000 Int.$","45.34","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2005","2005","t","12723910","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","356","India","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2005","2005","kg/ha","74.99","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5172","Use per capita","3102","Nutrient nitrogen N (total)","2005","2005","kg/pc","11.02","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","2005","2005","kg/1000 Int.$","46.74","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2006","2006","t","13760868","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","356","India","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2006","2006","kg/ha","81.2","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5172","Use per capita","3102","Nutrient nitrogen N (total)","2006","2006","kg/pc","11.74","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","2006","2006","kg/1000 Int.$","47.81","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2007","2007","t","14417665","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","356","India","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2007","2007","kg/ha","85.21","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5172","Use per capita","3102","Nutrient nitrogen N (total)","2007","2007","kg/pc","12.12","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","2007","2007","kg/1000 Int.$","46.24","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2008","2008","t","14863815","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","356","India","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2008","2008","kg/ha","87.75","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5172","Use per capita","3102","Nutrient nitrogen N (total)","2008","2008","kg/pc","12.32","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","2008","2008","kg/1000 Int.$","46.96","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2009","2009","t","15558372","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","356","India","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2009","2009","kg/ha","91.67","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5172","Use per capita","3102","Nutrient nitrogen N (total)","2009","2009","kg/pc","12.71","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","2009","2009","kg/1000 Int.$","49.88","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2010","2010","t","16450653","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","356","India","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2010","2010","kg/ha","97.21","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5172","Use per capita","3102","Nutrient nitrogen N (total)","2010","2010","kg/pc","13.26","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","2010","2010","kg/1000 Int.$","48.57","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2011","2011","t","17367540","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","356","India","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2011","2011","kg/ha","102.54","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5172","Use per capita","3102","Nutrient nitrogen N (total)","2011","2011","kg/pc","13.81","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","2011","2011","kg/1000 Int.$","48.13","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2012","2012","t","16820900","A","Official figure","Official data collected from national publication"
"RFN","Fertilizers by Nutrient","356","India","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2012","2012","kg/ha","99.33","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5172","Use per capita","3102","Nutrient nitrogen N (total)","2012","2012","kg/pc","13.2","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","2012","2012","kg/1000 Int.$","45.65","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2013","2013","t","16750100","A","Official figure","Official data collected from national publication"
"RFN","Fertilizers by Nutrient","356","India","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2013","2013","kg/ha","98.85","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5172","Use per capita","3102","Nutrient nitrogen N (total)","2013","2013","kg/pc","12.97","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","2013","2013","kg/1000 Int.$","43.5","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2014","2014","t","16949600","A","Official figure","Official data collected from national publication"
"RFN","Fertilizers by Nutrient","356","India","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2014","2014","kg/ha","100.02","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5172","Use per capita","3102","Nutrient nitrogen N (total)","2014","2014","kg/pc","12.97","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","2014","2014","kg/1000 Int.$","42.98","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2015","2015","t","17372300","A","Official figure",""
"RFN","Fertilizers by Nutrient","356","India","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2015","2015","kg/ha","102.54","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5172","Use per capita","3102","Nutrient nitrogen N (total)","2015","2015","kg/pc","13.13","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","2015","2015","kg/1000 Int.$","44.6","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2016","2016","t","16735400","A","Official figure","Official data collected from national publication"
"RFN","Fertilizers by Nutrient","356","India","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2016","2016","kg/ha","98.84","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5172","Use per capita","3102","Nutrient nitrogen N (total)","2016","2016","kg/pc","12.5","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","2016","2016","kg/1000 Int.$","41.37","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2017","2017","t","16958000","A","Official figure","Official data collected from national publication"
"RFN","Fertilizers by Nutrient","356","India","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2017","2017","kg/ha","100.41","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5172","Use per capita","3102","Nutrient nitrogen N (total)","2017","2017","kg/pc","12.52","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","2017","2017","kg/1000 Int.$","39.53","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2018","2018","t","17628200","A","Official figure","Official data collected from national publication"
"RFN","Fertilizers by Nutrient","356","India","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2018","2018","kg/ha","104.45","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5172","Use per capita","3102","Nutrient nitrogen N (total)","2018","2018","kg/pc","12.88","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","2018","2018","kg/1000 Int.$","39.53","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2019","2019","t","18863900","A","Official figure",""
"RFN","Fertilizers by Nutrient","356","India","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2019","2019","kg/ha","111.84","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5172","Use per capita","3102","Nutrient nitrogen N (total)","2019","2019","kg/pc","13.64","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","2019","2019","kg/1000 Int.$","41.29","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2020","2020","t","20404000","A","Official figure",""
"RFN","Fertilizers by Nutrient","356","India","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2020","2020","kg/ha","121.42","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5172","Use per capita","3102","Nutrient nitrogen N (total)","2020","2020","kg/pc","14.61","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","2020","2020","kg/1000 Int.$","43.44","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2021","2021","t","19488300","A","Official figure",""
"RFN","Fertilizers by Nutrient","356","India","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2021","2021","kg/ha","115.97","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5172","Use per capita","3102","Nutrient nitrogen N (total)","2021","2021","kg/pc","13.85","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","2021","2021","kg/1000 Int.$","40.35","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1961","1961","t","60500","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","356","India","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1961","1961","kg/ha","0.38","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5172","Use per capita","3103","Nutrient phosphate P2O5 (total)","1961","1961","kg/pc","0.13","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5173","Use per value of agricultural production","3103","Nutrient phosphate P2O5 (total)","1961","1961","kg/1000 Int.$","0.7","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1962","1962","t","82800","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","356","India","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1962","1962","kg/ha","0.51","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5172","Use per capita","3103","Nutrient phosphate P2O5 (total)","1962","1962","kg/pc","0.18","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5173","Use per value of agricultural production","3103","Nutrient phosphate P2O5 (total)","1962","1962","kg/1000 Int.$","0.97","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1963","1963","t","116500","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","356","India","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1963","1963","kg/ha","0.72","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5172","Use per capita","3103","Nutrient phosphate P2O5 (total)","1963","1963","kg/pc","0.24","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5173","Use per value of agricultural production","3103","Nutrient phosphate P2O5 (total)","1963","1963","kg/1000 Int.$","1.33","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1964","1964","t","148700","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","356","India","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1964","1964","kg/ha","0.92","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5172","Use per capita","3103","Nutrient phosphate P2O5 (total)","1964","1964","kg/pc","0.3","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5173","Use per value of agricultural production","3103","Nutrient phosphate P2O5 (total)","1964","1964","kg/1000 Int.$","1.66","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1965","1965","t","132500","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","356","India","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1965","1965","kg/ha","0.82","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5172","Use per capita","3103","Nutrient phosphate P2O5 (total)","1965","1965","kg/pc","0.26","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5173","Use per value of agricultural production","3103","Nutrient phosphate P2O5 (total)","1965","1965","kg/1000 Int.$","1.55","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1966","1966","t","248600","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","356","India","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1966","1966","kg/ha","1.53","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5172","Use per capita","3103","Nutrient phosphate P2O5 (total)","1966","1966","kg/pc","0.49","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5173","Use per value of agricultural production","3103","Nutrient phosphate P2O5 (total)","1966","1966","kg/1000 Int.$","2.93","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1967","1967","t","334800","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","356","India","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1967","1967","kg/ha","2.04","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5172","Use per capita","3103","Nutrient phosphate P2O5 (total)","1967","1967","kg/pc","0.64","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5173","Use per value of agricultural production","3103","Nutrient phosphate P2O5 (total)","1967","1967","kg/1000 Int.$","3.7","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1968","1968","t","382100","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","356","India","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1968","1968","kg/ha","2.32","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5172","Use per capita","3103","Nutrient phosphate P2O5 (total)","1968","1968","kg/pc","0.72","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5173","Use per value of agricultural production","3103","Nutrient phosphate P2O5 (total)","1968","1968","kg/1000 Int.$","4.01","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1969","1969","t","416000","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","356","India","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1969","1969","kg/ha","2.53","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5172","Use per capita","3103","Nutrient phosphate P2O5 (total)","1969","1969","kg/pc","0.76","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5173","Use per value of agricultural production","3103","Nutrient phosphate P2O5 (total)","1969","1969","kg/1000 Int.$","4.23","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1970","1970","t","541300","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","356","India","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1970","1970","kg/ha","3.28","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5172","Use per capita","3103","Nutrient phosphate P2O5 (total)","1970","1970","kg/pc","0.97","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5173","Use per value of agricultural production","3103","Nutrient phosphate P2O5 (total)","1970","1970","kg/1000 Int.$","5.24","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1971","1971","t","558200","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","356","India","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1971","1971","kg/ha","3.39","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5172","Use per capita","3103","Nutrient phosphate P2O5 (total)","1971","1971","kg/pc","0.98","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5173","Use per value of agricultural production","3103","Nutrient phosphate P2O5 (total)","1971","1971","kg/1000 Int.$","5.29","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1972","1972","t","581300","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","356","India","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1972","1972","kg/ha","3.52","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5172","Use per capita","3103","Nutrient phosphate P2O5 (total)","1972","1972","kg/pc","1","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5173","Use per value of agricultural production","3103","Nutrient phosphate P2O5 (total)","1972","1972","kg/1000 Int.$","5.76","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1973","1973","t","649700","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","356","India","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1973","1973","kg/ha","3.91","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5172","Use per capita","3103","Nutrient phosphate P2O5 (total)","1973","1973","kg/pc","1.09","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5173","Use per value of agricultural production","3103","Nutrient phosphate P2O5 (total)","1973","1973","kg/1000 Int.$","5.99","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1974","1974","t","471500","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","356","India","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1974","1974","kg/ha","2.83","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5172","Use per capita","3103","Nutrient phosphate P2O5 (total)","1974","1974","kg/pc","0.77","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5173","Use per value of agricultural production","3103","Nutrient phosphate P2O5 (total)","1974","1974","kg/1000 Int.$","4.49","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1975","1975","t","466800","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","356","India","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1975","1975","kg/ha","2.8","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5172","Use per capita","3103","Nutrient phosphate P2O5 (total)","1975","1975","kg/pc","0.75","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5173","Use per value of agricultural production","3103","Nutrient phosphate P2O5 (total)","1975","1975","kg/1000 Int.$","4.03","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1976","1976","t","640700","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","356","India","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1976","1976","kg/ha","3.84","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5172","Use per capita","3103","Nutrient phosphate P2O5 (total)","1976","1976","kg/pc","1.01","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5173","Use per value of agricultural production","3103","Nutrient phosphate P2O5 (total)","1976","1976","kg/1000 Int.$","5.58","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1977","1977","t","876500","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","356","India","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1977","1977","kg/ha","5.25","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5172","Use per capita","3103","Nutrient phosphate P2O5 (total)","1977","1977","kg/pc","1.34","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5173","Use per value of agricultural production","3103","Nutrient phosphate P2O5 (total)","1977","1977","kg/1000 Int.$","7.08","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1978","1978","t","1120000","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","356","India","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1978","1978","kg/ha","6.66","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5172","Use per capita","3103","Nutrient phosphate P2O5 (total)","1978","1978","kg/pc","1.68","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5173","Use per value of agricultural production","3103","Nutrient phosphate P2O5 (total)","1978","1978","kg/1000 Int.$","8.7","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1979","1979","t","1168400","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","356","India","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1979","1979","kg/ha","6.94","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5172","Use per capita","3103","Nutrient phosphate P2O5 (total)","1979","1979","kg/pc","1.72","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5173","Use per value of agricultural production","3103","Nutrient phosphate P2O5 (total)","1979","1979","kg/1000 Int.$","9.54","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1980","1980","t","1230600","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","356","India","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1980","1980","kg/ha","7.32","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5172","Use per capita","3103","Nutrient phosphate P2O5 (total)","1980","1980","kg/pc","1.77","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5173","Use per value of agricultural production","3103","Nutrient phosphate P2O5 (total)","1980","1980","kg/1000 Int.$","9.73","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1981","1981","t","1339700","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","356","India","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1981","1981","kg/ha","7.95","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5172","Use per capita","3103","Nutrient phosphate P2O5 (total)","1981","1981","kg/pc","1.88","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5173","Use per value of agricultural production","3103","Nutrient phosphate P2O5 (total)","1981","1981","kg/1000 Int.$","9.87","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1982","1982","t","1200900","X","Figure from international organizations",""
"RFN","Fertilizers by Nutrient","356","India","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1982","1982","kg/ha","7.12","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5172","Use per capita","3103","Nutrient phosphate P2O5 (total)","1982","1982","kg/pc","1.65","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5173","Use per value of agricultural production","3103","Nutrient phosphate P2O5 (total)","1982","1982","kg/1000 Int.$","8.92","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1983","1983","t","1371600","X","Figure from international organizations",""
"RFN","Fertilizers by Nutrient","356","India","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1983","1983","kg/ha","8.14","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5172","Use per capita","3103","Nutrient phosphate P2O5 (total)","1983","1983","kg/pc","1.84","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5173","Use per value of agricultural production","3103","Nutrient phosphate P2O5 (total)","1983","1983","kg/1000 Int.$","9.15","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1984","1984","t","1819700","X","Figure from international organizations",""
"RFN","Fertilizers by Nutrient","356","India","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1984","1984","kg/ha","10.74","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5172","Use per capita","3103","Nutrient phosphate P2O5 (total)","1984","1984","kg/pc","2.39","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5173","Use per value of agricultural production","3103","Nutrient phosphate P2O5 (total)","1984","1984","kg/1000 Int.$","11.89","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1985","1985","t","2061300","X","Figure from international organizations",""
"RFN","Fertilizers by Nutrient","356","India","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1985","1985","kg/ha","12.17","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5172","Use per capita","3103","Nutrient phosphate P2O5 (total)","1985","1985","kg/pc","2.64","E","Estimated value",""
