Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RFN","Fertilizers by Nutrient","356","India","5172","Use per capita","3102","Nutrient nitrogen N (total)","1969","1969","kg/pc","2.49","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","1969","1969","kg/1000 Int.$","13.79","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1970","1970","t","1479000","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","356","India","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1970","1970","kg/ha","8.96","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5172","Use per capita","3102","Nutrient nitrogen N (total)","1970","1970","kg/pc","2.65","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","1970","1970","kg/1000 Int.$","14.32","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1971","1971","t","1798000","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","356","India","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1971","1971","kg/ha","10.93","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5172","Use per capita","3102","Nutrient nitrogen N (total)","1971","1971","kg/pc","3.15","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","1971","1971","kg/1000 Int.$","17.04","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1972","1972","t","1839000","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","356","India","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1972","1972","kg/ha","11.15","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5172","Use per capita","3102","Nutrient nitrogen N (total)","1972","1972","kg/pc","3.16","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","1972","1972","kg/1000 Int.$","18.23","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1973","1973","t","1829000","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","356","India","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1973","1973","kg/ha","11.02","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5172","Use per capita","3102","Nutrient nitrogen N (total)","1973","1973","kg/pc","3.07","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","1973","1973","kg/1000 Int.$","16.87","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1974","1974","t","1765700","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","356","India","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1974","1974","kg/ha","10.6","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5172","Use per capita","3102","Nutrient nitrogen N (total)","1974","1974","kg/pc","2.9","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","1974","1974","kg/1000 Int.$","16.81","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1975","1975","t","2748600","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","356","India","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1975","1975","kg/ha","16.47","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5172","Use per capita","3102","Nutrient nitrogen N (total)","1975","1975","kg/pc","4.41","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","1975","1975","kg/1000 Int.$","23.72","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1976","1976","t","2456900","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","356","India","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1976","1976","kg/ha","14.71","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5172","Use per capita","3102","Nutrient nitrogen N (total)","1976","1976","kg/pc","3.85","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","1976","1976","kg/1000 Int.$","21.4","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1977","1977","t","2913000","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","356","India","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1977","1977","kg/ha","17.44","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5172","Use per capita","3102","Nutrient nitrogen N (total)","1977","1977","kg/pc","4.47","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","1977","1977","kg/1000 Int.$","23.52","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1978","1978","t","3419500","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","356","India","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1978","1978","kg/ha","20.33","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5172","Use per capita","3102","Nutrient nitrogen N (total)","1978","1978","kg/pc","5.13","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","1978","1978","kg/1000 Int.$","26.57","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1979","1979","t","3498100","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","356","India","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1979","1979","kg/ha","20.77","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5172","Use per capita","3102","Nutrient nitrogen N (total)","1979","1979","kg/pc","5.13","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","1979","1979","kg/1000 Int.$","28.57","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1980","1980","t","3678100","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","356","India","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1980","1980","kg/ha","21.87","E","Estimated value",""
